2023-07-16/07:29:34		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:46		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:46		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:46		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:47		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:47		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:47		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:47		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:47		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:47		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:47		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:47		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:47		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:48		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:48		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:48		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:48		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:48		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:48		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:48		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:48		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:48		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:48		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:49		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:49		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:49		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:49		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:49		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:49		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:49		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:49		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:49		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:50		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:50		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:50		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:50		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:50		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:50		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:50		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:50		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:50		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:51		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:51		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:51		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:51		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:51		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:51		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:51		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:51		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:51		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:51		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:51		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:52		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:52		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:52		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:52		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:52		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:52		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:52		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:52		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:52		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:53		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:53		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:53		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:53		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:53		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:53		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:53		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:53		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:53		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:54		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:54		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:54		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:54		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:54		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:54		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:54		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:54		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:54		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:54		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:55		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:55		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:55		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:55		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:55		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:55		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:55		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:55		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:55		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:55		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:56		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:56		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:56		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:56		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:56		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:56		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:56		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:56		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:56		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:56		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:57		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:57		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:57		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:57		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:57		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:57		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:57		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:57		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:57		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:57		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:58		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:58		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:58		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:58		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:58		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:58		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:58		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:58		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:58		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:58		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:59		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:59		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:59		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:59		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:59		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:59		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:59		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:59		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:59		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:29:59		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:00		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:00		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:00		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:00		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:00		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:00		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:00		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:00		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:00		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:01		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:01		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:01		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:01		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:01		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:01		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:01		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:01		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:01		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:01		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:02		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:02		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:02		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:02		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:02		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:02		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:02		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:02		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:02		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:03		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:03		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:03		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:03		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:03		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:03		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:03		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:03		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:03		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:03		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:04		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:04		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:04		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:04		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:04		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:04		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:04		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:04		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:04		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:04		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:05		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:05		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:05		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:05		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:05		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:05		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:05		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:05		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:06		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:06		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:06		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:06		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:06		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:06		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:06		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:06		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:06		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:06		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:07		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:07		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:07		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:07		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:07		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:07		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:07		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:07		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:07		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:07		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:08		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:08		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:08		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:08		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:08		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:08		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:08		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:09		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:09		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:09		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:09		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:09		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:09		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:10		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:10		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:10		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:10		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:10		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:10		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:11		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:11		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:11		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:11		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:11		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:11		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:11		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:12		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:12		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
2023-07-16/07:30:12		 energy_efficiency_05012023_122003.csv: File loaded successfully!!
